,report,tokens,similarity,scaled_similarity,labels
37," Wrapping up our session, I reflected back on the incredible growth I've witnessed in Malik. From the defiant, closed-off boy I met six weeks ago, to the self-aware, motivated young man he's becoming. Malik listened intently, a small smile playing at his lips. He left with a promise to keep working on himself, on and off the field. I have no doubt he will.","[' ', 'wrapping', 'session', 'reflected', 'incredible', 'growth', 'witnessed', 'malik', 'defiant', 'closed', 'boy', 'met', 'weeks', 'ago', 'self', 'aware', 'motivated', 'young', 'man', 'malik', 'listened', 'intently', 'small', 'smile', 'playing', 'lips', 'left', 'promise', 'working', 'field', 'doubt']","[0.6703404598215688, 0.6618108025130988, 0.7173430324164374, 0.6523454741501131, 0.672191757332807, 0.694624480036318, 0.6583319659756964]","[0.8156652394959497, 0.7979966823854499, 0.8309451775099579, 0.7717098173641939, 0.770354162032764, 0.8209916399319981, 0.7960199092009865]","['Activities', 'Strenghts', 'Presentation']"
38,"Emily arrived anxious, clinging to mom. Hesitant to engage.","['emily', 'arrived', 'anxious', 'clinging', 'mom', 'hesitant', 'engage']","[0.4591985707425661, 0.38820989042340265, 0.5391722349478686, 0.43517613356845125, 0.43826519336149533, 0.3813329063620951, 0.41069746898516035]","[0.598897599191756, 0.5120141604590726, 0.6416448870226783, 0.5617221385164339, 0.5313100219875734, 0.5045719676933001, 0.5451102928808023]",[]
39," Art seems to be her safe space. Did a collage independently, minimal verbal response to questions. Praised her work, got a smile.","[' ', 'art', 'safe', 'space', 'collage', 'independently', 'minimal', 'verbal', 'response', 'questions', 'praised', 'work', 'got', 'smile']","[0.7223827031182317, 0.7011338687605063, 0.7902218653961125, 0.7074734343560295, 0.775146101896093, 0.7705561768012452, 0.7740398280396302]","[0.8690941177008489, 0.8390992853315427, 0.9083764089431572, 0.8250147285097847, 0.8755608232269374, 0.8976814861385554, 0.9132580792803353]","['Boundaries', 'Activities', 'Strenghts']"
40," Group music time, Emily observed. Sat near me, tapped foot to beat. Didn't join in.","[' ', 'group', 'music', 'time', 'emily', 'observed', 'sat', 'near', 'tapped', 'foot', 'beat', 'join']","[0.4273144445877406, 0.4050388402648617, 0.43680769240741035, 0.3647931360540693, 0.38014046153233666, 0.4399589721195644, 0.39513149006184006]","[0.5661639392823445, 0.5296046921582328, 0.5328861122188294, 0.4936666651295947, 0.4719137041877593, 0.5637833926737642, 0.5293384442621196]",[]
41," Lunch, Emily ate alone. Another child asked to join, Emily panicked. Intervened, gave Emily space.","[' ', 'lunch', 'emily', 'ate', 'child', 'asked', 'join', 'emily', 'panicked', 'intervened', 'gave', 'emily', 'space']","[0.3781817633407842, 0.3025597266811656, 0.39612757053004455, 0.31434851763287647, 0.319130211946308, 0.30920944490307384, 0.33157893647249886]","[0.51572214669359, 0.42248796099091446, 0.48966489416371134, 0.4448902204240214, 0.4095687425953544, 0.4317283805902692, 0.464945368858417]",[]
42, Animals a big comfort. Calmed noticeably while petting rabbits.,"[' ', 'animals', 'big', 'comfort', 'calmed', 'noticeably', 'petting', 'rabbits']","[0.5379311990653431, 0.4726066413835429, 0.600314657896695, 0.5893792245962937, 0.5578599790854178, 0.5390967456240665, 0.5464287095007467]","[0.6797280120052441, 0.6002302248633486, 0.7066065900051818, 0.7108258244665709, 0.6535211647578743, 0.6639110195705799, 0.68263666297184]","['Triggers', 'Activities', 'Boundaries']"
43," Read a story about bravery. Emily listened closely. Discussed trying new things, she seemed thoughtful.","[' ', 'read', 'story', 'bravery', 'emily', 'listened', 'closely', 'discussed', 'trying', 'new', 'things', 'thoughtful']","[0.6379115037697495, 0.662704376151868, 0.7965330497732944, 0.6461234271267665, 0.6692633463456205, 0.6913764610740437, 0.6627230906244816]","[0.7823722330179644, 0.7989306940478758, 0.915081823370738, 0.7656935297583342, 0.7673616866411417, 0.8177111907216512, 0.8004691091881875]","['Activities', 'Strenghts', 'Boundaries']"
44," Overall, a challenging but positive start. Art and animals key to building trust and encouraging participation.","[' ', 'overall', 'challenging', 'positive', 'start', 'art', 'animals', 'key', 'building', 'trust', 'encouraging', 'participation']","[0.8035658994851126, 0.8218817475252482, 0.8617705483941602, 0.785617706940039, 0.8494341891541751, 0.8660493449471951, 0.840780781442888]","[0.9524403925000489, 0.9653115213312552, 0.984394402171829, 0.9005748161870433, 0.9514740997387411, 0.9941281176626973, 0.9808817230568108]","['Strenghts', 'Activities', 'Boundaries']"
45,"Emily arrived cheerful, good week at school.","['emily', 'arrived', 'cheerful', 'good', 'week', 'school']","[0.42189762971171324, 0.36320740697088666, 0.4693605794076748, 0.32198887912411545, 0.3469194279326643, 0.3868034509454582, 0.3490123137995413]","[0.5606027965656486, 0.48588020784334107, 0.567472425199983, 0.4522779196766228, 0.43796589905853944, 0.5100971336073853, 0.48260931337928226]",[]
46," Winter art project, Emily fully engaged. Less anxious when focused on creating.","[' ', 'winter', 'art', 'project', 'emily', 'fully', 'engaged', 'anxious', 'focused', 'creating']","[0.720286824247218, 0.7233432705985993, 0.7950779747382029, 0.6481883575834556, 0.7781469410030217, 0.7535183660785064, 0.7056705263913516]","[0.8669423953722537, 0.8623137574603924, 0.9135358566313109, 0.767690174185309, 0.8786273112373274, 0.8804735592820229, 0.8439845513465267]","['Activities', 'Strenghts', 'Restorative']"
47," Therapy dog visit, big step. Emily pet the dog with encouragement. Outside comfort zone.","[' ', 'therapy', 'dog', 'visit', 'big', 'step', 'emily', 'pet', 'dog', 'encouragement', 'outside', 'comfort', 'zone']","[0.5004499786545422, 0.43960863923437843, 0.525428834352784, 0.4741004394698353, 0.4848277974649621, 0.4425336146981218, 0.49828387473173735]","[0.6412481265613345, 0.5657389221806429, 0.6270430007321288, 0.5993592406280843, 0.5788912691414575, 0.5663837420903944, 0.6338550829961208]",[]
48," Lunch, Emily sat with peers. Visibly nervous but joined their conversation briefly. Checked in, reassured.","[' ', 'lunch', 'emily', 'sat', 'peers', 'visibly', 'nervous', 'joined', 'conversation', 'briefly', 'checked', 'reassured']","[0.4790830953852905, 0.3924727170679675, 0.4716469125771303, 0.419476612711851, 0.4100756391259593, 0.414937826234255, 0.4381966403026498]","[0.6193119352771983, 0.5164698982160723, 0.5699015748657973, 0.5465417915352733, 0.5025037691358563, 0.5385124200548231, 0.5729731577410967]",[]
49," Practiced relaxation techniques - breathing, muscle relaxation, visualization. Emily participated earnestly.","[' ', 'practiced', 'relaxation', 'techniques', 'breathing', 'muscle', 'relaxation', 'visualization', 'emily', 'participated', 'earnestly']","[0.783577065213142, 0.7660582318969932, 0.7877823958897996, 0.8366020804639318, 0.870112453199491, 0.8081020204297819, 0.8174681132147924]","[0.9319189675167505, 0.9069617531955, 0.9057845572326582, 0.9498731666130955, 0.972604739040339, 0.9356022108983623, 0.95726073037769]","['Restorative', 'Boundaries', 'Triggers']"
50," Free play, Emily chose dolls. Parallel play with another girl. A step towards social interaction.","[' ', 'free', 'play', 'emily', 'chose', 'dolls', 'parallel', 'play', 'girl', 'step', 'social', 'interaction']","[0.6286373769421151, 0.6210571922413473, 0.7226158014281824, 0.6216042714231679, 0.6566827156290761, 0.658812507599486, 0.658663125593584]","[0.7728510025455217, 0.7553987971879789, 0.8365473116406744, 0.7419852080416717, 0.7545058313684105, 0.7848220984158036, 0.7963554486095693]","['Activities', 'Boundaries', 'Strenghts']"
51, Surprise hug goodbye. Mom thrilled with progress. Emily starting to come out of her shell.,"[' ', 'surprise', 'hug', 'goodbye', 'mom', 'thrilled', 'progress', 'emily', 'starting', 'come', 'shell']","[0.45432454766848335, 0.4296148271529994, 0.5249223560760404, 0.4296510601318098, 0.41308926539812985, 0.435070772751799, 0.41929558218069474]","[0.593893710644743, 0.5552928474184575, 0.6265048851358849, 0.5563797759927172, 0.5055833240543689, 0.5588463864732908, 0.5538221214393714]",[]
52,"Feelings scavenger hunt. Emily hesitant at first but engaged. Found pictures for different emotions, whispered examples. More vocal than usual.","['feelings', 'scavenger', 'hunt', 'emily', 'hesitant', 'engaged', 'found', 'pictures', 'different', 'emotions', 'whispered', 'examples', 'vocal', 'usual']","[0.7295958203119502, 0.6794590135214775, 0.7852317803452016, 0.7746218670447069, 0.7691221400141054, 0.7514816407983803, 0.7262932971529016]","[0.876499424152071, 0.8164435503184427, 0.9030746167128098, 0.8899426022178982, 0.8694050760415886, 0.8784164980657901, 0.8648800710020026]","['Activities', 'Triggers', 'Strenghts']"
53," Group games, Emily joined my team. Smiled and clapped with a match. Enjoyed the interaction.","[' ', 'group', 'games', 'emily', 'joined', 'team', 'smiled', 'clapped', 'match', 'enjoyed', 'interaction']","[0.5429752306117968, 0.5102938840673216, 0.5707170161791937, 0.4802280635999492, 0.5146792560669091, 0.6019002559820275, 0.5107247206756077]","[0.6849064388002016, 0.6396229762428655, 0.675160122601623, 0.6052842278499814, 0.609395783590155, 0.7273415993651386, 0.6464604668194995]","['Strenghts', 'Presentation', 'Activities']"
54," Lunch, Emily sat with friends. A few whispered contributions to conversation. Girls patient and welcoming.","[' ', 'lunch', 'emily', 'sat', 'friends', 'whispered', 'contributions', 'conversation', 'girls', 'patient', 'welcoming']","[0.600176441623591, 0.5313790582468468, 0.6474436971590225, 0.5359696197700237, 0.5652109004017852, 0.5540735069308895, 0.561987892958848]","[0.7436317423752277, 0.6616623446099589, 0.7566795590298552, 0.6591824437038649, 0.6610329010685329, 0.67903731820774, 0.6984016262510746]","['Activities', 'Presentation', 'Boundaries']"
55," Role-played anxiety-provoking situations. Emily practiced deep breathing, self-talk. Determined to cope.","[' ', 'role', 'played', 'anxiety', 'provoking', 'situations', 'emily', 'practiced', 'deep', 'breathing', 'self', 'talk', 'determined', 'cope']","[0.7240911121678625, 0.7045963308838267, 0.7631171644801128, 0.8132721154277782, 0.8321929387332055, 0.7723110196949345, 0.7575333322361434]","[0.870848046302976, 0.8427184386543104, 0.8795786046459927, 0.9273147097313833, 0.9338556650889256, 0.8994538504787115, 0.896533274864245]","['Restorative', 'Triggers', 'Strenghts']"
56," Nature walk, Emily calm and engaged. Pointed out tracks, frost. Peaceful in nature.","[' ', 'nature', 'walk', 'emily', 'calm', 'engaged', 'pointed', 'tracks', 'frost', 'peaceful', 'nature']","[0.6394149012668657, 0.6126647387307402, 0.6692091003145164, 0.6410053996671166, 0.6596998714763078, 0.6555539881629393, 0.6470830806701332]","[0.7839156876555574, 0.746626549311384, 0.7798045447090296, 0.7607447524417366, 0.7575889930779643, 0.7815310438878971, 0.7846222504323195]","['Boundaries', 'Presentation', 'Strenghts']"
57," Clear ""thank you"" at goodbye. Finding her voice. Emotionally and socially progressing well.","[' ', 'clear', 'thank', 'goodbye', 'finding', 'voice', 'emotionally', 'socially', 'progressing']","[0.7379559991062192, 0.7359134988811352, 0.7839040533453111, 0.7687483119720573, 0.7845875645881847, 0.7710561443362139, 0.7703694175238835]","[0.8850823549843171, 0.8754528422608532, 0.9016639528423098, 0.884263282139904, 0.8852088353709391, 0.8981864456613713, 0.909539125316184]","['Boundaries', 'Activities', 'Strenghts']"
58,,['nan'],"[-0.12415589250099712, -0.10163662313558365, -0.06474855628907049, -0.1457571244260627, -0.08167027890558848, -0.11825090482169094, -0.12729750769856996]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[]
59,Celebrated Emily raising hand in class. Milestone.,"['celebrated', 'emily', 'raising', 'hand', 'class', 'milestone']","[0.6095044347537333, 0.6112504901237178, 0.6271299174228653, 0.5439292181319808, 0.6091950632641263, 0.6914736441078749, 0.578430628708047]","[0.7532082743860694, 0.7451482999145598, 0.7350968728681258, 0.6668788228525565, 0.7059792988120801, 0.8178093440915342, 0.7150618273467376]","['Strenghts', 'Presentation', 'Goals']"
60," Led peers through obstacle course. Took to leadership, whispered instructions and praise. Coming out of shell.","[' ', 'led', 'peers', 'obstacle', 'course', 'took', 'leadership', 'whispered', 'instructions', 'praise', 'coming', 'shell']","[0.6545876996567858, 0.6750923504404399, 0.6848309720157187, 0.6284847230749979, 0.6565596398411436, 0.7109007234836973, 0.6727629480557028]","[0.7994927563184394, 0.8118792770827287, 0.7964022413742999, 0.7486381272241045, 0.7543800630700727, 0.8374303955502783, 0.810641749941359]","['Strenghts', 'Goals', 'Boundaries']"
61," Group art, Emily chose to sit with friends. More vocal contributions. Social confidence growing.","[' ', 'group', 'art', 'emily', 'chose', 'sit', 'friends', 'vocal', 'contributions', 'social', 'confidence', 'growing']","[0.6946843035506405, 0.6764745246710013, 0.7850624061461835, 0.647159625584088, 0.735419288187459, 0.7583234432027162, 0.7042230617336286]","[0.8406577105972689, 0.8133240006005655, 0.9028946625029689, 0.7666954617451228, 0.8349649120208869, 0.8853266132945931, 0.8425179430737698]","['Activities', 'Strenghts', 'Boundaries']"
62, Make-believe at lunch. Emily pretended to be snow fairy. Jumped in with laughter.,"[' ', 'believe', 'lunch', 'emily', 'pretended', 'snow', 'fairy', 'jumped', 'laughter']","[0.3209085331576967, 0.24567905320297015, 0.40247563400180575, 0.2951993228913237, 0.2755906895273962, 0.2866857715802208, 0.2803669739294284]","[0.4569229050388869, 0.3630331940973295, 0.4964094913497237, 0.4263742782343348, 0.3650767126269945, 0.40897981685826273, 0.4130560964474873]",[]
63," Library visit, new setting. Emily nervous but used deep breathing. Raised hand to answer question.","[' ', 'library', 'visit', 'new', 'setting', 'emily', 'nervous', 'deep', 'breathing', 'raised', 'hand', 'answer', 'question']","[0.7066545710788872, 0.6947965878664938, 0.7691331974705049, 0.6930360202322686, 0.73248079312206, 0.7045774768033772, 0.7246640623655319]","[0.852946918850668, 0.832475215410199, 0.8859704309656969, 0.8110547511377836, 0.8319621319431976, 0.8310440136294168, 0.86322928857725]","['Activities', 'Boundaries', 'Presentation']"
64, Emily led closing circle. Soft but clear voice. Peers celebrated her bravery.,"[' ', 'emily', 'led', 'closing', 'circle', 'soft', 'clear', 'voice', 'peers', 'celebrated', 'bravery']","[0.5905503359075829, 0.5815665850080844, 0.6158129570333328, 0.5694089172693548, 0.5954097531870711, 0.6694175931461075, 0.5808021263443626]","[0.733749154744324, 0.7141210713108441, 0.7230729951080823, 0.691515923399374, 0.6918924095905974, 0.7955330717540612, 0.7174646895055382]","['Strenghts', 'Presentation', 'Activities']"
65, Fierce hug goodbye. Remarkable transformation happening. Finding her place.,"[' ', 'fierce', 'hug', 'goodbye', 'remarkable', 'transformation', 'happening', 'finding', 'place']","[0.7116512430403764, 0.7012994692043225, 0.7394453260829489, 0.7153295328881251, 0.6926956546210211, 0.7429819893451254, 0.7199767177591471]","[0.8580767241924251, 0.8392723799027302, 0.8544280976683182, 0.8326110305068142, 0.7913066199820764, 0.8698319807886713, 0.8584799509403639]","['Strenghts', 'Boundaries', 'Presentation']"
66,"Emily invited friend over, huge social milestone.","['emily', 'invited', 'friend', 'huge', 'social', 'milestone']","[0.53791282053877, 0.5429388020166005, 0.6221506115673456, 0.4828973842289402, 0.5316617928964177, 0.5759512215205014, 0.5099898459641738]","[0.6797091437936594, 0.6737452161575986, 0.729806533158886, 0.6078652756234882, 0.6267498448103827, 0.7011334735514365, 0.6457158729356501]","['Activities', 'Strenghts', 'Presentation']"
67," Made unicorn puppet, put on show. Narrated with confidence. Expressiveness shining.","[' ', 'unicorn', 'puppet', 'narrated', 'confidence', 'expressiveness', 'shining']","[0.6441557164850037, 0.6342992239690527, 0.6796859160146393, 0.6523489569100257, 0.6835229335437949, 0.7299015559150863, 0.6716945358848151]","[0.7887828191017929, 0.7692400874088127, 0.7909357978862784, 0.7717131849512946, 0.7819332286726189, 0.8566209441491193, 0.8095592073589356]","['Strenghts', 'Boundaries', 'Activities']"
68, Volunteered first for charades. Nervous but determined. Friends cheered bravery.,"[' ', 'volunteered', 'charades', 'nervous', 'determined', 'friends', 'cheered', 'bravery']","[0.5931473526763653, 0.5076888981254182, 0.6353510119649992, 0.5695762041252211, 0.5553169652185027, 0.6242808385834089, 0.5571377527062367]","[0.7364153674946927, 0.636900103561052, 0.7438315005796275, 0.6916776781777926, 0.6509225177610575, 0.7499456436686222, 0.6934873398948878]","['Strenghts', 'Activities', 'Presentation']"
69," Misunderstanding at lunch. Coached Emily to express feelings. She took a breath, calmly explained. Resolved.","[' ', 'misunderstanding', 'lunch', 'coached', 'emily', 'express', 'feelings', 'took', 'breath', 'calmly', 'explained', 'resolved']","[0.5885959969212826, 0.5448582411869886, 0.6113335817335697, 0.5968285684441272, 0.5869133762840482, 0.5764021450635022, 0.5876944711553955]","[0.7317427435472721, 0.6757515181484777, 0.7183138142687178, 0.7180288229163323, 0.6832101587345893, 0.7015888993964654, 0.7244481898380819]","['Presentation', 'Boundaries', 'Activities']"
70, Guest speaker on facing fears. Emily shared own experience. Remarkable courage.,"[' ', 'guest', 'speaker', 'facing', 'fears', 'emily', 'shared', 'experience', 'remarkable', 'courage']","[0.6655170841173433, 0.6493835933292581, 0.7278658986713091, 0.6647045203143939, 0.6818364519102078, 0.7559834996712677, 0.6713437932019088]","[0.8107133477881213, 0.7850070889087429, 0.8421253578038549, 0.783660157176704, 0.7802098521353041, 0.8829633063068095, 0.8092038258871914]","['Strenghts', 'Activities', 'Presentation']"
71," Gratitude exercise. Emily thankful for friends, progress, feeling brave. Insightful.","[' ', 'gratitude', 'exercise', 'emily', 'thankful', 'friends', 'progress', 'feeling', 'brave', 'insightful']","[0.616169391612812, 0.6067665491793114, 0.7587666046898172, 0.648367538337066, 0.674177395565242, 0.7021999268771469, 0.6404864301641285]","[0.7600508150935231, 0.7404614414912593, 0.8749562858160479, 0.7678634295373032, 0.7723832397726118, 0.8286427247611398, 0.7779383551448095]","['Activities', 'Strenghts', 'Boundaries']"
72, Surprise thank-you card. Extraordinary growth. Becoming confident and resilient.,"[' ', 'surprise', 'thank', 'card', 'extraordinary', 'growth', 'confident', 'resilient']","[0.6325229906941613, 0.652748505190843, 0.6868967197433041, 0.62114459803641, 0.6342120684379412, 0.696141450845782, 0.6459426120830966]","[0.7768401461865044, 0.7885242774037892, 0.798597026661571, 0.7415407357821213, 0.7315435972258937, 0.8225237571246086, 0.7834666984430927]","['Strenghts', 'Activities', 'Goals']"
73,,['nan'],"[-0.12415589250099712, -0.10163662313558365, -0.06474855628907049, -0.1457571244260627, -0.08167027890558848, -0.11825090482169094, -0.12729750769856996]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[]
74,Emily did solo class presentation. Amazing accomplishment.,"['emily', 'solo', 'class', 'presentation', 'amazing', 'accomplishment']","[0.5512946968391449, 0.5546136305846328, 0.6517371252255255, 0.4935993795563885, 0.5666457252529372, 0.6703117820985405, 0.5376573044850179]","[0.69344757230317, 0.6859483805821727, 0.7612411773855154, 0.618213362290931, 0.6624991153660299, 0.7964361888469662, 0.6737492507016118]","['Strenghts', 'Activities', 'Presentation']"
75, Watched video montage of Emily's journey. She marveled at own transformation.,"[' ', 'watched', 'video', 'montage', 'emily', 'journey', 'marveled', 'transformation']","[0.5134791034820675, 0.47589292083819723, 0.5831243876083015, 0.47323529257866126, 0.5102104463002539, 0.5350350596048624, 0.44366313974288624]","[0.65462440474285, 0.6036652224992073, 0.6883425242582583, 0.5985227036332516, 0.6048292103478504, 0.6598087791436813, 0.5785119550162463]",['Activities']
76," Set goals - continue facing fears, join drama club. Determined.","[' ', 'set', 'goals', 'continue', 'facing', 'fears', 'join', 'drama', 'club', 'determined']","[0.5852485615813318, 0.6792933763096406, 0.660720710751682, 0.568804429786322, 0.5819884401443675, 0.6506516151246403, 0.6235365532651657]","[0.7283061177650687, 0.8162704173153245, 0.7707859253121152, 0.6909314259601194, 0.6781774805115559, 0.7765797224981191, 0.7607643056441227]","['Goals', 'Strenghts', 'Activities']"
77," Friends surprised Emily with ""Bravery Award"" at lunch. Tearful, grateful speech.","[' ', 'friends', 'surprised', 'emily', 'bravery', 'award', 'lunch', 'tearful', 'grateful', 'speech']","[0.4373868318273512, 0.3759839947671154, 0.5288992200496102, 0.38996557934647413, 0.40434129435861355, 0.485963629206995, 0.39344929748267576]","[0.5765046993450884, 0.49923499080686196, 0.6307301651263275, 0.5180066706006308, 0.49664397497498053, 0.6102473889643104, 0.5276340036460332]",[]
78," Graduation ceremony. Presented Emily with courage certificate. Mom proud, emotional.","[' ', 'graduation', 'ceremony', 'presented', 'emily', 'courage', 'certificate', 'mom', 'proud', 'emotional']","[0.5835358131630535, 0.5661913927652069, 0.6403703939738731, 0.558826891413018, 0.587717984470389, 0.6650237980119589, 0.5802648293214929]","[0.7265477341743735, 0.6980500859506802, 0.7491644198113219, 0.6812838388835416, 0.6840323692125784, 0.7910954062275795, 0.7169202863973422]","['Strenghts', 'Activities', 'Presentation']"
79," Group hug, promises to stay in touch. Emily at the center, shining bright.","[' ', 'group', 'hug', 'promises', 'stay', 'touch', 'emily', 'center', 'shining', 'bright']","[0.584864368832936, 0.5822341392541129, 0.6364813125393679, 0.5332635064456039, 0.579557025135198, 0.605023847546388, 0.591109254999368]","[0.7279116884272666, 0.7148188352376664, 0.745032405722928, 0.6565658199476205, 0.6756928738038237, 0.7304963788167886, 0.7279081363096764]","['Activities', 'Strenghts', 'Presentation']"
80, It's been a privilege to witness Emily's growth. She's taught me the meaning of courage. No doubt she'll continue to thrive. The world is hers.,"[' ', 'privilege', 'witness', 'emily', 'growth', 'taught', 'meaning', 'courage', 'doubt', 'continue', 'thrive', 'world']","[0.6981277395290796, 0.7412283153140914, 0.7908314694444597, 0.7143863782757169, 0.7338869285292043, 0.8151834870609441, 0.7524212540826948]","[0.8441928948984073, 0.8810081768372754, 0.909024092093673, 0.8316990654599816, 0.8333990291620578, 0.9427543833111819, 0.8913535863165318]","['Strenghts', 'Activities', 'Boundaries']"
81,"Ryan arrived sullen, with his hood up and headphones blasting. He barely acknowledged me when I greeted him. I tried to engage him in a conversation about music, but I only got shrugs in response. When I mentioned skateboarding, I noticed a glimmer of interest.","['ryan', 'arrived', 'sullen', 'hood', 'headphones', 'blasting', 'barely', 'acknowledged', 'greeted', 'tried', 'engage', 'conversation', 'music', 'got', 'shrugs', 'response', 'mentioned', 'skateboarding', 'noticed', 'glimmer', 'interest']","[0.6893545568394696, 0.6553116709590662, 0.7446090267223721, 0.6722251430265885, 0.6793845805976906, 0.6994195115116686, 0.6936333403932028]","[0.8351859559253796, 0.7912034373704471, 0.8599143504376846, 0.7909320773409119, 0.7777043416047684, 0.8258345479936824, 0.8317881661212257]","['Activities', 'Presentation', 'Boundaries']"
82," During the skate park session, Ryan came alive. He showed off impressive tricks and was focused on his technique. I praised his skills and received a half-smile in return.","[' ', 'skate', 'park', 'session', 'ryan', 'came', 'alive', 'showed', 'impressive', 'tricks', 'focused', 'technique', 'praised', 'skills', 'received', 'half', 'smile', 'return']","[0.6489098275945998, 0.6324972507372535, 0.6958254904681458, 0.5842056720517753, 0.6496019081748103, 0.7226093483825091, 0.6278339656258868]","[0.7936636007006802, 0.7673565671919472, 0.8080835357636308, 0.7058233582468431, 0.7472701181599777, 0.8492559266662233, 0.7651185539403096]","['Strenghts', 'Activities', 'Presentation']"
83," At lunch, Ryan sat alone and inhaled his food. He became defensive when approached, so I gave him space. The graffiti art project made Ryan perk up. He was artistic and creative, and he opened up about his pieces and their meanings.","[' ', 'lunch', 'ryan', 'sat', 'inhaled', 'food', 'defensive', 'approached', 'gave', 'space', 'graffiti', 'art', 'project', 'ryan', 'perk', 'artistic', 'creative', 'opened', 'pieces', 'meanings']","[0.667640666386608, 0.6277552290577231, 0.6948471016720514, 0.5585091177392701, 0.6554530549270364, 0.6842807326816742, 0.6403405500465272]","[0.8128935116556905, 0.7623999487779813, 0.8070440316140081, 0.6809765737973626, 0.7532492695650983, 0.8105446141493011, 0.7777905456724584]","['Presentation', 'Strenghts', 'Activities']"
84," We ended the day with a quick game of HORSE. Ryan was competitive but played fair. We high-fived at the end. Despite his tough exterior, there were glimmers of engagement. Skateboarding and art seem to be promising inroads for building trust slowly.","[' ', 'ended', 'day', 'quick', 'game', 'horse', 'ryan', 'competitive', 'played', 'fair', 'high', 'fived', 'end', 'despite', 'tough', 'exterior', 'glimmers', 'engagement', 'skateboarding', 'art', 'promising', 'inroads', 'building', 'trust', 'slowly']","[0.7002329717726601, 0.7199220903280341, 0.7458088186045767, 0.6503853924359142, 0.6949570431897656, 0.7474099028360143, 0.7000762525998466]","[0.8463542198146702, 0.8587377541705341, 0.8611890876844868, 0.7698145543937663, 0.7936174806066518, 0.8743041053308567, 0.8383162898253129]","['Strenghts', 'Activities', 'Goals']"
85,,['nan'],"[-0.12415589250099712, -0.10163662313558365, -0.06474855628907049, -0.1457571244260627, -0.08167027890558848, -0.11825090482169094, -0.12729750769856996]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[]
86,"Ryan arrived agitated and snappy, mentioning trouble at school.","['ryan', 'arrived', 'agitated', 'snappy', 'mentioning', 'trouble', 'school']","[0.5395660867033358, 0.4922571093262993, 0.5517497318854672, 0.5255432514109598, 0.5128409799240351, 0.49767642146131247, 0.5346172966696473]","[0.6814064602610403, 0.6207699604087498, 0.6550080411294016, 0.6491008691838729, 0.6075172917580226, 0.6220771290452388, 0.6706690369033131]","['Presentation', 'Boundaries']"
87," I skipped the small talk and we hit the skate park. Ryan vented through tricks, pushing his limits. I validated his feelings.","[' ', 'skipped', 'small', 'talk', 'hit', 'skate', 'park', 'ryan', 'vented', 'tricks', 'pushing', 'limits', 'validated', 'feelings']","[0.5358610184417668, 0.5586681307712648, 0.6016875014311958, 0.5726236994892224, 0.563255680179471, 0.5737575875968082, 0.6085100089968425]","[0.6776026726387473, 0.6901863642192443, 0.7080651886283396, 0.6946243946713453, 0.6590349067890144, 0.6989179370178288, 0.74553902603727]","['Boundaries', 'Activities', 'Strenghts']"
88," During the group activity, Ryan struggled to share the spotlight. He got frustrated and lashed out, so I removed him for a cool-down period.","[' ', 'group', 'activity', 'ryan', 'struggled', 'share', 'spotlight', 'got', 'frustrated', 'lashed', 'removed', 'cool', 'period']","[0.6657502033463092, 0.6521873113442274, 0.6973219774012662, 0.6602808932811844, 0.6526387093040882, 0.666847926339682, 0.6826106020756884]","[0.8109526783415841, 0.7879376871387241, 0.8096735012078843, 0.7793828168748738, 0.7503733549284428, 0.7929377477907767, 0.8206196452743462]","['Boundaries', 'Presentation', 'Activities']"
89," At lunch, we processed the earlier incident. Ryan was defensive at first, but then showed remorse. We brainstormed better responses together.","[' ', 'lunch', 'processed', 'earlier', 'incident', 'ryan', 'defensive', 'showed', 'remorse', 'brainstormed', 'better', 'responses']","[0.7642522856320083, 0.7020542533199658, 0.6856380431427294, 0.7638718053083848, 0.7300826779638968, 0.7091707722118457, 0.7411758084774943]","[0.9120792905702512, 0.840061321223331, 0.7972597264445678, 0.8795480386693132, 0.8295115535822776, 0.8356831713654447, 0.8799594127403916]","['Presentation', 'Boundaries', 'Triggers']"
90," We had an Anger Management 101 session, covering deep breathing, counting, and walking away. Ryan rolled his eyes but tried the techniques.","[' ', 'anger', 'management', '101', 'session', 'covering', 'deep', 'breathing', 'counting', 'walking', 'away', 'ryan', 'rolled', 'eyes', 'tried', 'techniques']","[0.7059610368784177, 0.7071094665297083, 0.7398897527056505, 0.7432204516013378, 0.7828697689879668, 0.7154302679112992, 0.7370300222841948]","[0.8522349058400722, 0.8453453044219095, 0.8549002855350899, 0.8595796130232619, 0.8834534598160797, 0.8420051657758663, 0.8757587959614375]","['Restorative', 'Boundaries', 'Triggers']"
